Category,Date,Study,Study Link,Journal,Severe,Severe Significant,Severe Age Adjusted,Severe OR Calculated or Extracted,Fatality,Fatality Significant,Fatality Age Adjusted,Fatality OR Calculated or Extracted,Design,Sample,Study Population,Sample Text,Matches,Entry
Cardio cerebrovascular disease,2020-04-09,COVID-19 and Diabetes: Knowledge in Progress,https://doi.org/10.1016/j.diabres.2020.108142,Diabetes Research and Clinical Practice,,,,,,,,,Other,72314.0,"Methods We searched for articles in PubMed and Google Scholar databases till 02 April 2020, with the following keywords: “SARS-CoV-2”, “COVID-19”, “infection”, “pathogenesis”, “incubation period”, “transmission”, “clinical features”, “diagnosis”, “treatment”, “diabetes”, with interposition of the Boolean operator “AND”.","In a large Chinese report including 72,314 patients, only 2% of those infected were younger than 20 years old (20) .","One Chinese meta-analysis including 1527 patients showed that the most prevalent cardiovascular metabolic comorbidities with COVID-19 were hypertension (17.1%, 95% CI 9.9 -24.4%) and cardio-cerebrovascular disease (16.4%, 95% CI 6.6 -26.1%), followed by diabetes (9.7%, 95% CI 6.9 -12.5%).

In this report, patients with diabetes or hypertension had a 2-fold increase in risk of severe disease or requiring intensive care unit (ICU) admission, while those with cardio-cerebrovascular disease had a 3-fold increase .",2020-04-17
Cardio cerebrovascular disease,2020-04-08,Does comorbidity increase the risk of patients with COVID-19: evidence from meta-analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7185114/,Aging (Albany NY),,,,,,,,,Systematic review,1558.0,"A literature search was performed using the electronic platforms (PubMed, Cochrane Library, Embase, and other databases) to obtain relevant research studies published up to March 1, 2020.",A total of 1558 patients with COVID-19 in 6 studies were enrolled in our meta-analysis eventually.,"Hypertension, diabetes, COPD, cardiovascular disease, and cerebrovascular disease are major risk factors for patients with COVID-19.

Hypertension (OR: 2.29, P<0.001), diabetes (OR: 2.47, P<0.001), chronic obstructive pulmonary disease (COPD) (OR: 5.97, P<0.001), cardiovascular disease (OR: 2.93, P<0.001), and cerebrovascular disease (OR:3.89, P=0.002)were independent risk factors associated with COVID-19 patients.

The meta-analysis identified hypertension, diabetes, COPD, cardiovascular disease, and cerebrovascular disease as significant risk factors for COVID-19 patients.",2020-05-12
Cardio cerebrovascular disease,2020-04-08,Cardiovascular Collapse in COVID-19 Infection: The Role of Veno-Arterial Extracorporeal Membrane Oxygenation (VA-ECMO),https://doi.org/10.1016/j.cjco.2020.04.003,CJC Open,,,,,,,,,Other,138.0,Additional considerations and proposed recommendations specific to the COVID-19 pandemic were formulated with guidance from published data and expert consensus.,"In one large cohort study of 138 patients, a significant proportion of patients presented with shock (unspecified; 8.7%), acute cardiac injury (7.2%) and arrhythmias (16.7%), while 4 of 138 patients received unspecified ECMO support (14) .","COVID-19 has been associated with cardiovascular complications including acute cardiac injury, heart failure and cardiogenic shock.",2020-05-12
Cardio cerebrovascular disease,2020-04-06,"A Comprehensive Literature Review on the Clinical Presentation, and Management of the Pandemic Coronavirus Disease 2019 (COVID-19)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7138423/,PMC,,,,,,,,,Other,199.0,confirmed COVID-19 patient,"Currently, an RCT (Chinese Clinical Trial Register number: ChiCTR 2000029308) with 199 patients in Wuhan aims to evaluate the safety and efficacy of lopinavir and ritonavir regimen in severe COVID-19 patients.","Our overall analysis (N = 1458) showed that the leading comorbid conditions include hypertension, cardiovascular and cerebrovascular disease, and diabetes.",2020-04-10
Cardio cerebrovascular disease,2020-04-03,"Preliminary Estimates of the Prevalence of Selected Underlying Health Conditions Among Patients with Coronavirus Disease 2019 — United States, February 12–March 28, 2020",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7119513/,MMWR Morb Mortal Wkly Rep,,,,,,,,,Other,335.0,"In contrast, 335 patients aged <19 years were not hospitalized and 1,342 had missing data on hospitalization.","In contrast, 335 patients aged <19 years were not hospitalized and 1,342 had missing data on hospitalization.","Cardiovascular disease (647, 9.0%) 239 No. (%)  242 132 34 ",2020-04-17
Cardio cerebrovascular disease,2020-03-31,Genotype and phenotype of COVID-19: Their roles in pathogenesis,https://doi.org/10.1016/j.jmii.2020.03.022,"Journal of Microbiology, Immunology and Infection",,,,,,,,,Other,,"Abstract COVID-19 is a novel coronavirus with an outbreak of unusual viral pneumonia in Wuhan, China, and then pandemic.",The genetic and phenotypic structure of COVID-19 in pathogenesis is important.,Co-morbidities are cardiovascular and cerebrovascular disease as well as diabetes.,2020-04-10
Cardio cerebrovascular disease,2020-03-31,COVID-19 in patients with cardiovascular diseases,https://doi.org/10.1016/j.acvd.2020.03.009,Archives of Cardiovascular Diseases,,,,,,,,,Other,138.0,Published by Elsevier Masson SAS.,"In a report on 138 patients with COVID-19 hospitalized in Wuhan (Hubei province, China) , 64 (46.4%) had one or more coexisting medical conditions, mostly cardiovascular or cerebrovascular.","Hypertension was present in 31.2%, diabetes in 10.1%, and cardiovascular disease in 14.5% of patients .",2020-04-03
Cardio cerebrovascular disease,2020-03-30,Clinical and Paraclinical Characteristics of COVID-19 patients: A systematic review and meta-analysis,https://doi.org/10.1101/2020.03.26.20044057,medrxiv,,,,,,,,,Systematic review,49504.0,"We searched databases of Web of Science, Scopus, and PubMed without any time limitation for publications up to March 13, 2020.","Out of selected papers, a total of 49504 patients infected with CoVID-19 with age ranged between 40 to 58 years old were included in our investigation.","The meta-analysis showed that the prevalence of the underlying diseases like cardiovascular disease, diabetes, cerebrovascular disease and hypertension in COVID-19 patients were 4%, 6%, 1%, 14%, respectively.

The cardiovascular disease, diabetes, and cerebrovascular disease were reported in 12, 11, and 4 original studies, respectively.",2020-04-03
Cardio cerebrovascular disease,2020-03-30,Coronavirus disease 2019 in elderly patients: Characteristics and prognostic factors based on 4-week follow-up,https://doi.org/10.1016/j.jinf.2020.03.019,Journal of Infection,,,,,,,,,Retrospective observational,339.0,"Methods Consecutive cases over 60 years old with COVID-19 in Renmin Hospital of Wuhan University from Jan 1 to Feb 6, 2020 were included.","Results 339 patients with COVID-19 (aged 71±8 years,173 females (51%)) were enrolled, including 80 (23.6%) critical, 159 severe (46.9%) and 100 moderate (29.5%) cases.","Comorbidities including hypertension, cardiovascular disease, cerebrovascular disease, and COPD were more prevalent in the dead group.

Common comorbidities were hypertension (40.8%), diabetes (16.0%) and cardiovascular disease (15.7%).

Common comorbidities included hypertension (138 cases, 40.8%), diabetes (54 cases, 16.0%) and cardiovascular disease (48 cases, 14.2%).

Symptoms of dyspnea (HR 2.35, CI 1.43-3.87, P = 0.001) and comorbidities including cardiovascular disease (HR 2.87, CI 1.70-4.83, P < 0.001), cerebrovascular disease (HR 3.26, CI 1.66-6.40, P = 0.001) and COPD (HR 3.72, CI 1.94-7.13, P < 0.001) were all predictive of fatal outcomes.

Patient history were collected for comorbidities including hypertension, diabetes, cardiovascular disease, cerebrovascular disease, chronic kidney disease, chronic liver disease, chronic obstructive pulmonary disease (COPD), malignancy and autoimmune diseases.",2020-04-17
Cardio cerebrovascular disease,2020-03-28,Decades-old renin inhibitors are still struggling to find a niche in antihypertensive therapy. A fleeting look at the old and the promising new molecules,https://doi.org/10.1016/j.bmc.2020.115466,Bioorganic & Medicinal Chemistry,,,,,,,,,Other,,"Sodium houttuynin, a volatile oil, was extracted from perennial plant Houttunynia cordata Thunb.",13) with no substitution at 4 and 5 positions.,"Hypertension is a fundamental hazard factor for cardiovascular disease, stroke, and chronic kidney disease.",2020-04-10
Cardio cerebrovascular disease,2020-03-26,Antihypertensive drugs and risk of COVID-19? – Authors' reply,https://doi.org/10.1016/s2213-2600(20)30159-4,The Lancet Respiratory Medicine,,,,,,,,,Other,41.0,"As of March 22, 2020, 307 297 people have been infected by SARS-CoV-2, with 13 049 deaths and 92 382 people recovered.","3 In a second cohort of 41 patients hospitalised with COVID-19, 4 diabetes (20%), hypertension (15%), and cardiovascular disease (15%) were frequent comorbidities.","Of 1099 infected patients, 173 had severe disease, in whom the most common comorbidities were hypertension (24%), diabetes (16%), coronary heart disease (6%), and cerebrovascular disease (2%).

Among 191 patients hospitalised with COVID-19, 5 the most common comorbidities with significant effects on mortality were hypertension (30%; p=0·0008), diabetes (36%; p=0·0051), and coronary heart disease (15%; p=0·0001).",2020-05-12
Cardio cerebrovascular disease,2020-03-26,"COVID-19 clinical characteristics, and sex-specific risk of mortality: Systematic Review and Meta-analysis",https://doi.org/10.1101/2020.03.24.20042903,medrxiv,,,,,,,,,Systematic review,4789.0,"Methods: We reviewed the scientific literature published from January 1, 2019 to March 3, 2020.",A total of 4789 patients with a mean age of 49 years were evaluated.,"The most prevalent comorbidities were hypertension (18.5 %, CI 12.7 to 24.4) and Cardiovascular disease (14.9 %, CI 6.0 to 23.8).

The most prevalent comorbidities in our study were hypertension (18.5 %, CI 12.7-24.4) followed 307 by cardiovascular diseases (14.9 %, CI 6.0-23.8) and diabetes (10.8 %, CI 8.3-13.3).

The most common comorbidities were respectively hypertension (18.5 %, CI 12.7-24.4), 246 cardiovascular diseases (14.9 %, CI 6.0-23.8), diabetes (10.8 %, CI 8.3-13.3), chronic liver 247 disease (8.1, CI 4.6-11.6) and smoking (8.0%, CI 2.3-13.6) ( Table 3) .",2020-04-03
Cardio cerebrovascular disease,2020-03-26,Are Patients with Inflammatory Bowel Disease at Increased Risk for Covid-19 Infection?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7184365/,J Crohns Colitis,,,,,,,,,Other,13.0,"However, based on a PubMed search on March 17, 2020, we found no evidence to suggest that Covid-19 occurs more frequently in IBD patients than in the general population.","13 In vitro studies have shown that the latter form of ACE2 might act as a competitive interceptor of SARS-CoV-2 by preventing binding of the viral particle to the surface-bound, full-length ACE2.","with coronary heart disease, hypertension, diabetes mellitus, lung disease, cerebrovascular diseases], should stay at home and avoid public gatherings.",2020-05-12
Cardio cerebrovascular disease,2020-03-26,Comorbid Diabetes Mellitus was Associated with Poorer Prognosis in Patients with COVID-19: A Retrospective Cohort Study,https://doi.org/10.1101/2020.03.24.20042358,medrxiv,,,,,,,,,Retrospective observational,258.0,"Methods In this cohort study, we retrospectively reviewed 258 consecutive hospitalized COVID-19 patients with or without diabetes at the West Court of Union Hospital of Huazhong University of Science and Technology in Wuhan, China, recruited from January 29 to February 12, 2020.","A total of 258 consecutive laboratory-confirmed patients with SARS-CoV-2 infection were included and analyzed in the study, and 24% of them had diabetes.","Cardiovascular disease included coronary artery disease, congestive heart failure, or a history of myocardial infarction; reports of isolated hypertension were not included.",2020-04-03
Cardio cerebrovascular disease,2020-03-23,"Clinical Characteristics of Coronavirus Disease 2019 in Hainan, China",https://doi.org/10.1101/2020.03.19.20038539,medrxiv,,,,,,,,,Retrospective observational,168.0,Methods: We conducted a retrospective study included all 168 confirmed cases of Covid-19 in Hainan province from 22 January 2020 to 13 March 2020.,Methods: We conducted a retrospective study included all 168 confirmed cases of Covid-19 in Hainan province from 22 January 2020 to 13 March 2020.,"On admission, 24 (14.3%), 12 (7.1%), and 12 (7.1%) patients are with history of hypertension, diabetes, and cardiovascular disease, respectively.",2020-03-27
Cardio cerebrovascular disease,2020-03-23,The feasibility of convalescent plasma therapy in severe COVID-19 patients: a pilot study,https://doi.org/10.1101/2020.03.16.20036145,medrxiv,,,,,,,,,Other,10.0,Graphs were plotted using GraphPad Prism 7.0.,"From January 23, 2020, to February 19, 2020, ten severe COVID-19 patients (six males and four females) were enrolled and received CP transfusion.","Four patients had underlying chronic diseases, including cardiovascular and/or cerebrovascular diseases and essential hypertension.",2020-03-27
Cardio cerebrovascular disease,2020-03-20,"Incidence, clinical characteristics and prognostic factor of patients with COVID-19: a systematic review and meta-analysis",https://doi.org/10.1101/2020.03.17.20037572,medrxiv,,,,,,,,,Systematic review,30.0,"Methods: The PubMed, Web of Science Core Collection, Embase, Cochrane and MedRxiv databases were searched through February 25, 2020.","Results: A total of 30 studies including 53000 patients with COVID-19 were included in this study, the mean age was 49.8 years (95% CI, 47.5-52.2 yrs) and 55.5% were male.","The most common comorbidities were hypertension (19.0%, 95% CI, 13.2-24.9%), followed by diabetes (8.2%, 95% CI, 6.3-10.0%) and cardiovascular diseases (CVD, 2.7%, 95% CI, 1.4-4.1%).

Comorbidities with pooled OR larger than 2 included CKD (6.02; 95% CI, 2.19-16.51; n = 4; I 2 = 0), COPD (5.32; 95% CI, ; n = 6; I 2 = 0%), cerebrovascular diseases (3.19 ; 95% CI, 1.51-6.77; n = 6; I 2 = 0%), tumor (3.21; 95% CI, ; n = 4; I 2 = 30%), diabetes (2.49; 95% CI, ; n = 10; I 2 = 44%) and hypertension (2.06; 95% CI, 1.61-2.62; n = 10; I 2 = 36%) ( Figure 4 , eFigure 5).

Moreover, hypertension, diabetes, CVD, cerebrovascular diseases, chronic obstructive pulmonary disease (COPD) and chronic kidney disease (CKD) were significantly more common in severe cases as compared with non-severe cases (all for P < 0.05).",2020-03-27
